date,sector,sentiment_index,tradable_sentiment_index,smoothed_tradable_index,article_count,covered_tickers,coverage_confidence
2020-01-02,Comm,0.08718,0.0,0.0,11,4,0.5517580401956801
2020-01-02,Consumer,-0.06894547619047618,0.0,0.0,22,5,0.9019957877111602
2020-01-02,Energy,0.19246166666666667,0.0,0.0,21,5,0.7179949597060651
2020-01-02,Financials,0.10184933333333335,0.0,0.0,12,5,0.654683073631623
2020-01-02,Healthcare,0.21549047619047618,0.0,0.0,23,5,0.8801387880522502
2020-01-02,Industrials,0.08408,0.0,0.0,13,5,0.6657351714118194
2020-01-02,Materials,0.10974999999999999,0.0,0.0,7,3,0.4343146913748387
2020-01-02,RealEstate,0.007240000000000002,0.0,0.0,3,2,0.1624278110061505
2020-01-02,Tech,0.06159097435897436,0.0,0.0,25,4,0.5374794659095857
2020-01-02,Utilities,0.12738,0.0,0.0,1,1,0.03625384938440364
2020-01-03,Comm,0.05423,0.08718,0.007925454545454545,3,2,0.1624278110061505
2020-01-03,Consumer,-0.17423333333333332,-0.06894547619047618,-0.0062677705627705626,10,4,0.5764431445089249
2020-01-03,Energy,-0.02783772727272728,0.19246166666666667,0.017496515151515152,28,5,0.7733672028180965
2020-01-03,Financials,0.05045500000000001,0.10184933333333335,0.009259030303030304,8,3,0.4256551904028505
2020-01-03,Healthcare,0.083755,0.21549047619047618,0.01959004329004329,6,2,0.2515700837116072
2020-01-03,Industrials,-0.12487999999999999,0.08408,0.007643636363636364,7,4,0.5679499810286353
2020-01-03,Materials,-0.028300000000000002,0.10974999999999999,0.009977272727272727,3,2,0.1624278110061505
2020-01-03,RealEstate,-0.03842000000000001,0.007240000000000002,0.0006581818181818184,5,3,0.2873275267402535
2020-01-03,Tech,0.0784682142857143,0.06159097435897436,0.005599179487179488,17,4,0.4858349999677666
2020-01-03,Utilities,0.06874,0.12738,0.011580000000000002,4,2,0.1762147314824891
2020-01-06,Comm,0.10428583333333333,0.05423,0.01213495867768595,16,3,0.47224014573372747
2020-01-06,Consumer,0.11205806372549018,-0.17423333333333332,-0.02153736717827627,44,5,0.6606512562343396
2020-01-06,Energy,0.08543969696969697,-0.02783772727272728,0.01337522038567493,34,5,0.8428558218460521
2020-01-06,Financials,0.226022,0.05045500000000001,0.013004118457300276,12,5,0.6891400775069715
2020-01-06,Healthcare,0.32718,0.083755,0.02542322117276663,12,5,0.6891400775069715
2020-01-06,Industrials,0.044117222222222224,-0.12487999999999999,-0.0044039669421487605,14,3,0.3756759749499127
2020-01-06,Materials,-0.055811999999999994,-0.028300000000000002,0.006497520661157023,9,4,0.4361986455100096
2020-01-06,RealEstate,0.08879999999999999,-0.03842000000000001,-0.0028943801652892573,4,3,0.2936912191374818
2020-01-06,Tech,-0.013116666666666665,0.0784682142857143,0.012223637196137196,13,5,0.6135206481638334
2020-01-06,Utilities,0.009050000000000002,0.06874,0.016776363636363638,6,4,0.5031401674232144
2020-01-07,Comm,0.20616666666666666,0.10428583333333333,0.02051231091910844,5,3,0.2873275267402535
2020-01-07,Consumer,0.1472385,0.11205806372549018,-0.009392328005206589,22,5,0.7837012581752703
2020-01-07,Energy,0.04761,0.08543969696969697,0.019926536438767843,12,3,0.4849504249123133
2020-01-07,Financials,0.11242,0.226022,0.032369380415727525,11,4,0.5004317108751516
2020-01-07,Healthcare,0.10573733333333335,0.32718,0.052855655611606024,15,5,0.7009767528433791
2020-01-07,Industrials,0.024045714285714285,0.044117222222222224,7.050254612237656e-06,13,4,0.46700825457247047
2020-01-07,Materials,0.07636,-0.055811999999999994,0.0008330187828700208,3,3,0.27071301834358413
2020-01-07,RealEstate,0.14006000000000002,0.08879999999999999,0.005441472577009766,2,2,0.13187198158574429
2020-01-07,Tech,0.007282142857142857,-0.013116666666666665,0.009919973208609573,21,4,0.6250171951398121
2020-01-07,Utilities,0.12738,0.009050000000000002,0.01607396694214876,1,1,0.03625384938440364
2020-01-08,Comm,0.154382,0.20616666666666666,0.037389979623431914,20,4,0.5774613888889798
2020-01-08,Consumer,0.05741,0.1472385,0.004846838177084919,16,4,0.5456997239589739
2020-01-08,Energy,0.00814166666666668,0.04761,0.022443214944334402,17,5,0.8097249999462776
2020-01-08,Financials,0.28060999999999997,0.11242,0.0396467094688432,4,3,0.2936912191374818
2020-01-08,Healthcare,0.1542911111111111,0.10573733333333335,0.05766308085903578,13,3,0.34384124237753316
